id,Name,division,d_index,metric,urban,mostly,rural,Expenditure_per_pupil,census,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,pct_rural,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,pct_nonwhite_adv
27,Dinwiddie County,1,0.58803357,1,0,1,0,10835,28001,0.533210332,0.038284133,0.358543417,0.062961255,0.001614391,0.002306273,0.340405904,0.001383764,0.537822878,0.053505535,71.2,128,33,0,0,0,26,0,89,30.46875
28,Essex County,3,0.611920592,1.461538462,0,1,0,13359,11151,0.698503207,0.063435495,0.43373494,0.045616536,0.005702067,0.011404134,0.518888097,7.13E-04,0.330007128,0.08766928,77.3,36,14,0,0,0,16,0,17,52.77777778
29,Fairfax County,4,0.732219008,2.846153846,1,0,0,15357,1081699,0.291450812,0.09473941,0.627148617,0.258400454,0.002720172,0.196154642,0.100826657,0.001394552,0.38661442,0.053735332,1.4,8866,1211,76,16,2184,690,1151,4370,50.71057974
30,Fauquier County,4,0.48504498,2,0,1,0,12891,65203,0.282394113,0.183327351,0.548317047,0.157483848,0.001884422,0.017408471,0.078068916,0.001346016,0.69373654,0.049802584,57.5,505,33,0,0,11,25,36,415,17.82178218
31,Floyd County,6,0.212043325,2.538461538,0,0,1,11046,15279,0.544428081,0.100638193,0.448818898,0.05203731,0.001472754,0.006381934,0.011782032,0,0.885125184,0.040255277,100,57,16,0,0,0,0,0,55,3.50877193
32,Fluvanna County,5,0.454290652,2.538461538,0,1,0,10925,25691,0.359431597,0.109222625,0.572490706,0.055725829,0.002507662,0.003622179,0.150738367,0.001114517,0.717748677,0.06854277,62.9,154,27,0,0,0,16,0,117,24.02597403
33,Franklin County,6,0.371867769,1.846153846,0,1,0,11656,56159,0.448143054,0.05213205,0.52734375,0.069188446,0.001788171,0.004676754,0.07909216,1.38E-04,0.783081155,0.062035763,89.2,270,62,0,0,0,19,13,226,16.2962963
34,Frederick County,4,0.442020007,2,1,0,0,12411,78305,0.334787431,0.04754159,0.577114428,0.168798521,0.002144177,0.015304991,0.042218115,6.65E-04,0.724805915,0.046062847,44.8,580,73,0,0,16,24,47,477,17.75862069
35,Giles County,NA,0.092851577,NA,0,1,0,10610,17286,0.450885668,0.080515298,0.301980198,0.015297907,0.001207729,0.002415459,0.012882448,0,0.952093398,0.01610306,66.3,61,14,0,0,0,0,0,57,6.557377049
36,Gloucester County,3,0.346464614,2.076923077,0,1,0,10975,36858,0.371024085,0.061040632,0.387387387,0.053134767,0.00275786,0.005883434,0.068027211,0.001287001,0.800882515,0.068027211,64.6,172,31,0,0,0,11,0,150,12.79069767
37,Goochland County,1,0.466590206,1.923076923,0,1,0,12076,21717,0.241156333,0.138455687,0.724324324,0.072651198,0.001141118,0.011411183,0.161278052,3.80E-04,0.707112971,0.044503614,97,134,38,0,0,0,25,12,91,32.08955224
38,Grayson County,NA,0.217506504,NA,0,1,0,12896,15533,0.656565657,0.095328283,0.421052632,0.077020202,0.001262626,6.31E-04,0.029040404,6.31E-04,0.880681818,0.010732323,99.9,56,16,0,0,0,0,0,52,7.142857143
39,Greene County,5,0.440316446,2,0,1,0,11593,18403,0.415809769,0.046272494,0.530172414,0.095758355,0.001928021,0.018958869,0.074871465,6.43E-04,0.734254499,0.073586118,51.2,123,24,0,0,0,10,0,93,24.3902439
40,Greensville County,NA,0.45088408,NA,0,1,0,11796,12243,0.636439966,0.071368598,0.417721519,0.042821159,0.001679261,0.01511335,0.709907641,0,0.206129303,0.024349286,87,66,28,0,0,0,38,0,25,62.12121212
41,Halifax County,8,0.562794576,2.923076923,0,1,0,11442,36241,0.733189571,0.184865713,0.366754617,0.032150559,5.88E-04,0.00627328,0.423446383,0,0.50578318,0.031758479,77.1,139,49,0,0,0,46,0,88,36.69064748
42,Hanover County,1,0.355642704,2.615384615,1,0,0,10586,99863,0.207277778,0.110111111,0.657455013,0.048388889,0.002833333,0.019777778,0.092555556,2.78E-04,0.794555556,0.041611111,39.1,1023,32,0,0,15,86,22,867,15.24926686
43,Henrico County,1,0.697620205,2.615384615,1,0,0,10051,306935,0.358043584,0.087786925,NA,0.096464891,0.002072639,0.108784504,0.359108959,9.49E-04,0.387622276,0.044997579,4.3,1983,368,0,9,220,479,101,1099,44.57892083
44,Henry County,6,0.603847317,1.076923077,0,1,0,10466,54151,0.615322904,0.069795427,NA,0.140259393,8.02E-04,0.003208985,0.212461559,0,0.57106565,0.072202166,60.7,246,115,0,0,0,41,40,148,39.83739837
45,Highland County,NA,0.065428905,NA,0,0,1,20490,2321,0.679425837,0.066985646,NA,0.014354067,0,0,0,0.004784689,0.966507177,0.014354067,100,7,0,0,0,0,0,0,0,100
46,Isle of Wight County,2,0.530687598,2.230769231,0,1,0,10545,35270,0.343316289,0.09696859,NA,0.035427319,0.003834916,0.013148283,0.268991965,0.00146092,0.626917458,0.049853908,57.4,220,33,0,0,0,57,0,146,33.63636364
48,King George County,3,0.518603487,1.692307692,0,1,0,10045,23584,0.338478501,0.14399118,NA,0.064167585,0.00463065,0.010804851,0.17199559,0.001984564,0.663947078,0.082028666,73.2,167,22,0,0,0,28,0,118,29.34131737
49,King and Queen County,NA,0.602009832,NA,0,0,1,13065,6945,0.533013205,0,NA,0.051620648,0.007202881,0.004801921,0.346938776,0.00120048,0.519807923,0.068427371,100,7,0,0,0,0,0,0,0,100
