LEA_NAME,SCHID,SCH_NAME,SCH_APCOURSES
PITTSYLVANIA CO PBLC SCHS,01227,Tunstall High,14
POQUOSON CITY PBLC SCHS,01231,Poquoson High,22
PORTSMOUTH CITY PBLC SCHS,00375,Churchland High,10
PORTSMOUTH CITY PBLC SCHS,01250,I.C. Norcom High,5
PORTSMOUTH CITY PBLC SCHS,01255,Woodrow Wilson High,5
POWHATAN CO PBLC SCHS,01268,Powhatan High,17
PRINCE EDWARD CO PBLC SCHS,01271,Prince Edward County High,6
PRINCE GEORGE CO PBLC SCHS,01280,Prince George High,12
PRINCE WILLIAM CO PBLC SCHS,00186,C.D. Hylton High,18
PRINCE WILLIAM CO PBLC SCHS,01288,Brentsville District High,10
PRINCE WILLIAM CO PBLC SCHS,01299,Gar-Field High,2
PRINCE WILLIAM CO PBLC SCHS,01313,Osbourn Park High,18
PRINCE WILLIAM CO PBLC SCHS,01321,Stonewall Jackson High,7
PRINCE WILLIAM CO PBLC SCHS,01327,Woodbridge High,21
PRINCE WILLIAM CO PBLC SCHS,01857,Potomac High,11
PRINCE WILLIAM CO PBLC SCHS,02457,Battlefield High,27
PRINCE WILLIAM CO PBLC SCHS,02458,Freedom High,14
PRINCE WILLIAM CO PBLC SCHS,02542,Forest Park High,27
PRINCE WILLIAM CO PBLC SCHS,02850,Patriot High,20
PRINCE WILLIAM CO PBLC SCHS,03025,Charles J. Colgan Sr. High,18
PULASKI CO PBLC SCHS,01338,Pulaski County Senior High,7
RADFORD CITY PBLC SCHS,01345,Radford High,15
RAPPAHANNOCK CO PBLC SCHS,01346,Rappahannock County High,22
RICHMOND CITY PBLC SCHS,01373,Open High,10
RICHMOND CITY PBLC SCHS,02075,Richmond Community High,7
RICHMOND CITY PBLC SCHS,02080,John Marshall High,7
RICHMOND CITY PBLC SCHS,02081,George Wythe High,3
RICHMOND CITY PBLC SCHS,02082,Armstrong High,3
RICHMOND CITY PBLC SCHS,02083,Huguenot High,1
RICHMOND CITY PBLC SCHS,02214,Franklin Military Academy,1
RICHMOND CO PBLC SCHS,01409,Rappahannock High,13
ROANOKE CITY PBLC SCHS,01430,Patrick Henry High,20
ROANOKE CITY PBLC SCHS,01438,William Fleming High,8
ROANOKE CO PBLC SCHS,01447,Cave Spring High,16
ROANOKE CO PBLC SCHS,01457,Glenvar High,12
ROANOKE CO PBLC SCHS,01465,Northside High,15
ROANOKE CO PBLC SCHS,01476,William Byrd High,18
ROANOKE CO PBLC SCHS,02308,Hidden Valley High,16
ROCKBRIDGE CO PBLC SCHS,00204,Rockbridge County High,11
ROCKINGHAM CO PBLC SCHS,01492,Broadway High,21
ROCKINGHAM CO PBLC SCHS,01872,Spotswood High,23
ROCKINGHAM CO PBLC SCHS,02164,Turner Ashby High,24
ROCKINGHAM CO PBLC SCHS,02803,East Rockingham High,16
RUSSELL CO PBLC SCHS,01522,Honaker High,1
RUSSELL CO PBLC SCHS,02042,Lebanon High,2
SALEM CITY PBLC SCHS,02043,Salem High,3
SHENANDOAH CO PBLC SCHS,01543,Central High,14
SHENANDOAH CO PBLC SCHS,01548,Stonewall Jackson High,8
SHENANDOAH CO PBLC SCHS,01549,Strasburg High,7
SMYTH CO PBLC SCHS,01558,Chilhowie High,3
SMYTH CO PBLC SCHS,01562,Marion Senior High,9
SOUTHAMPTON CO PBLC SCHS,01582,Southampton High,11
SPOTSYLVANIA CO PBLC SCHS,01593,Spotsylvania High,22
SPOTSYLVANIA CO PBLC SCHS,01873,Courtland High,26
SPOTSYLVANIA CO PBLC SCHS,01881,Massaponax High,26
SPOTSYLVANIA CO PBLC SCHS,02134,Chancellor High,23
SPOTSYLVANIA CO PBLC SCHS,02462,Riverbend High,27
STAFFORD CO PBLC SCHS,00591,Brooke Point High,12
STAFFORD CO PBLC SCHS,01602,Stafford Senior High,37
STAFFORD CO PBLC SCHS,01923,Colonial Forge High,37
STAFFORD CO PBLC SCHS,01979,North Stafford High,32
STAFFORD CO PBLC SCHS,02464,Mountain View High,11
STAUNTON CITY PBLC SCHS,01606,Robert E. Lee High,19
SUFFOLK CITY PBLC SCHS,02218,Nansemond River High,11
SUFFOLK CITY PBLC SCHS,02219,Lakeland High,8
SUFFOLK CITY PBLC SCHS,02426,King's Fork High,5
SUSSEX CO PBLC SCHS,01643,Sussex Central High,3
TAZEWELL CO PBLC SCHS,01653,Graham High,12
TAZEWELL CO PBLC SCHS,01661,Richlands High,18
TAZEWELL CO PBLC SCHS,01668,Tazewell High,10
VA BEACH CITY PBLC SCHS,00412,Princess Anne High,34
VA BEACH CITY PBLC SCHS,00434,Tallwood High,22
VA BEACH CITY PBLC SCHS,01046,Ocean Lakes High,29
VA BEACH CITY PBLC SCHS,01675,Bayside High,17
VA BEACH CITY PBLC SCHS,01684,First Colonial High,29
VA BEACH CITY PBLC SCHS,01685,Floyd Kellam High,26
VA BEACH CITY PBLC SCHS,01694,Kempsville High,22
VA BEACH CITY PBLC SCHS,01879,Green Run High,20
VA BEACH CITY PBLC SCHS,02049,Frank W. Cox High,28
VA BEACH CITY PBLC SCHS,02166,Salem High,21
VA BEACH CITY PBLC SCHS,02323,Landstown High,26
VA BEACH CITY PBLC SCHS,02957,Green Run Collegiate,8
WARREN CO PBLC SCHS,01733,Warren County High,13
WARREN CO PBLC SCHS,02657,Skyline High,12
WASHINGTON CO PBLC SCHS,01736,Abingdon High,14
WASHINGTON CO PBLC SCHS,01745,Holston High,4
WASHINGTON CO PBLC SCHS,01746,John S. Battle High,7
WASHINGTON CO PBLC SCHS,01749,Patrick Henry High,13
WAYNESBORO CITY PBLC SCHS,01759,Waynesboro High,33
WEST POINT PBLC SCHS,01763,West Point High,4
WESTMORELAND CO PBLC SCHS,01768,Washington & Lee High,5
WILLIAMSBURG-JAMES CITY PBLC SCHS,01665,Jamestown High,32
WILLIAMSBURG-JAMES CITY PBLC SCHS,01773,Lafayette High,15
WILLIAMSBURG-JAMES CITY PBLC SCHS,02658,Warhill High,32
WINCHESTER CITY PBLC SCHS,01780,John Handley High School,14
WISE CO PBLC SCHS,01786,Eastside High,1
WISE CO PBLC SCHS,01789,Central High,18
YORK CO PBLC SCHS,01443,Grafton High,24
YORK CO PBLC SCHS,01812,Bruton High,20
YORK CO PBLC SCHS,01820,Tabb High,25
YORK CO PBLC SCHS,01823,York High,27
YORK CO PBLC SCHS,02330,York River Academy,1
