School,SCHID,LEA,apcount,schpop,APSAI
Colonial Forge High,01923,STAFFORD CO PBLC SCHS,37,2105,56.891891891891895
Eastern Montgomery High,02541,MONTGOMERY CO PBLC SCHS,5,285,57
Yorktown High,00115,ARLINGTON CO PBLC SCHS,34,1940,57.05882352941177
Central High,01543,SHENANDOAH CO PBLC SCHS,14,799,57.07142857142857
William Monroe High,00702,GREENE CO PBLC SCHS,16,938,58.625
Brookville High,00223,CAMPBELL CO PBLC SCHS,15,883,58.86666666666667
Wakefield High,00111,ARLINGTON CO PBLC SCHS,33,1945,58.93939393939394
William Byrd High,01476,ROANOKE CO PBLC SCHS,18,1063,59.05555555555556
Fauquier High,00607,FAUQUIER CO PBLC SCHS,22,1301,59.13636363636363
Loudoun Valley High,00924,LOUDOUN CO PBLC SCHS,23,1369,59.52173913043478
Fort Defiance High,00124,AUGUSTA CO PBLC SCHS,13,775,59.61538461538461
Stuarts Draft High,00132,AUGUSTA CO PBLC SCHS,12,716,59.666666666666664
James Wood High,00652,FREDERICK CO PBLC SCHS,22,1314,59.72727272727273
Rustburg High,00231,CAMPBELL CO PBLC SCHS,14,840,60
Christiansburg High,01019,MONTGOMERY CO PBLC SCHS,17,1047,61.588235294117645
First Colonial High,01684,VA BEACH CITY PBLC SCHS,29,1798,62
James Monroe High,00661,FREDERICKSBURG CITY PBLC SCHS,16,1004,62.75
Heritage High,00960,LYNCHBURG CITY PBLC SCHS,16,1004,62.75
Nelson County High,01032,NELSON CO PBLC SCHS,10,632,63.2
Warren County High,01733,WARREN CO PBLC SCHS,13,831,63.92307692307692
Stonewall Jackson High,01548,SHENANDOAH CO PBLC SCHS,8,513,64.125
Staunton River High,00156,BEDFORD CO PBLC SCHS,15,964,64.26666666666667
Harrisonburg High,00782,HARRISONBURG CITY PBLC SCHS,28,1800,64.28571428571429
Cave Spring High,01447,ROANOKE CO PBLC SCHS,16,1031,64.4375
Frank W. Cox High,02049,VA BEACH CITY PBLC SCHS,28,1810,64.64285714285714
Langley High,00517,FAIRFAX CO PBLC SCHS,30,1943,64.76666666666667
James River High,00766,CHESTERFIELD CO PBLC SCHS,32,2080,65
Windsor High,00877,ISLE OF WIGHT CO PBLC SCHS,8,520,65
York River Academy,02330,YORK CO PBLC SCHS,1,65,65
Tuscarora High,02817,LOUDOUN CO PBLC SCHS,23,1507,65.52173913043478
Mathews High,00993,MATHEWS CO PBLC SCHS,6,395,65.83333333333333
Manassas Park High,00983,MANASSAS PARK CITY PBLC SCHS,17,1134,66.70588235294117
Deep Creek High,01832,CHESAPEAKE CITY PBLC SCHS,24,1606,66.91666666666667
Clover Hill High,00324,CHESTERFIELD CO PBLC SCHS,28,1878,67.07142857142857
Tunstall High,01227,PITTSYLVANIA CO PBLC SCHS,14,939,67.07142857142857
Menchville High,01063,NEWPORT NEWS CITY PBLC SCHS,23,1544,67.1304347826087
Abingdon High,01736,WASHINGTON CO PBLC SCHS,14,940,67.14285714285714
Clarke County High,02100,CLARKE CO PBLC SCHS,10,674,67.4
Hickory High,01482,CHESAPEAKE CITY PBLC SCHS,26,1756,67.53846153846153
Northside High,01465,ROANOKE CO PBLC SCHS,15,1014,67.6
Bethel High,00731,HAMPTON CITY PBLC SCHS,25,1702,68.08
West Point High,01763,WEST POINT PBLC SCHS,4,273,68.25
Loudoun County High,00923,LOUDOUN CO PBLC SCHS,22,1504,68.36363636363636
Fluvanna County High,00625,FLUVANNA CO PBLC SCHS,21,1444,68.76190476190476
Heritage High,02285,LOUDOUN CO PBLC SCHS,21,1448,68.95238095238095
Patrick County High,01188,PATRICK CO PBLC SCHS,13,900,69.23076923076923
Altavista High,00220,CAMPBELL CO PBLC SCHS,9,627,69.66666666666667
Green Run High,01879,VA BEACH CITY PBLC SCHS,20,1406,70.3
New Kent High,02156,NEW KENT CO PBLC SCHS,14,990,70.71428571428571
Broad Run High,00913,LOUDOUN CO PBLC SCHS,22,1558,70.81818181818181
Ocean Lakes High,01046,VA BEACH CITY PBLC SCHS,29,2070,71.37931034482759
Sherando High,00524,FREDERICK CO PBLC SCHS,21,1511,71.95238095238095
Riverside High,03001,LOUDOUN CO PBLC SCHS,22,1594,72.45454545454545
Riverbend High,02462,SPOTSYLVANIA CO PBLC SCHS,27,1968,72.88888888888889
Marion Senior High,01562,SMYTH CO PBLC SCHS,9,657,73
Midlothian High,02006,CHESTERFIELD CO PBLC SCHS,23,1691,73.52173913043478
Skyline High,02657,WARREN CO PBLC SCHS,12,888,74
Kempsville High,01694,VA BEACH CITY PBLC SCHS,22,1631,74.13636363636364
Kecoughtan High,00747,HAMPTON CITY PBLC SCHS,22,1632,74.18181818181819
Woodgrove High,02812,LOUDOUN CO PBLC SCHS,22,1642,74.63636363636364
McLean High,00538,FAIRFAX CO PBLC SCHS,29,2167,74.72413793103448
Hanover High,02338,HANOVER CO PBLC SCHS,18,1350,75
Lord Botetourt High,00172,BOTETOURT CO PBLC SCHS,14,1052,75.14285714285714
Northampton High,01155,NORTHAMPTON CO PBLC SCHS,6,451,75.16666666666667
Holston High,01745,WASHINGTON CO PBLC SCHS,4,301,75.25
Dominion High,02411,LOUDOUN CO PBLC SCHS,21,1581,75.28571428571429
Lafayette High,01773,WILLIAMSBURG-JAMES CITY PBLC SCHS,15,1138,75.86666666666666
Park View High,00928,LOUDOUN CO PBLC SCHS,20,1518,75.9
Patrick Henry High,00776,HANOVER CO PBLC SCHS,18,1368,76
