School,SCHID,LEA,apcount,schpop,APSAI
Piedmont Regional Juvenile Detention Center,02393,DOE SOP EDUC PROGRAMS,NA,NA,NA
Crater Juvenile Detention Home,02394,DOE SOP EDUC PROGRAMS,NA,NA,NA
Richmond Juvenile Detention Home,02395,DOE SOP EDUC PROGRAMS,NA,NA,NA
Roanoke Valley Juvenile Detention Home,02396,DOE SOP EDUC PROGRAMS,NA,NA,NA
Rappahannock Juvenile Detention Home,02397,DOE SOP EDUC PROGRAMS,NA,NA,NA
Shenandoah Valley Juvenile Detention Home,02398,DOE SOP EDUC PROGRAMS,NA,NA,NA
Middle Peninsula Juvenile Detention Home,02399,DOE SOP EDUC PROGRAMS,NA,NA,NA
Prince William Juv. Detention Home,02403,DOE SOP EDUC PROGRAMS,NA,NA,NA
Virginia Beach Juvenile Detention Home,02476,DOE SOP EDUC PROGRAMS,NA,NA,NA
Enterprise Academy/Newport News City,02348,ENTERPRISE ACADEMY/NEWPORT NEWS CITY,NA,34,NA
Fairfax County Adult High,00422,FAIRFAX CO PBLC SCHS,NA,32,NA
Bryant High,00497,FAIRFAX CO PBLC SCHS,NA,350,NA
TRANSITIONAL ESOL CTR,01905,FAIRFAX CO PBLC SCHS,NA,133,NA
Cedar Lane School,01991,FAIRFAX CO PBLC SCHS,NA,93,NA
Achievement Integrity And Maturity,02674,FAIRFAX CO PBLC SCHS,NA,53,NA
Narrows High,00673,GILES CO PBLC SCHS,NA,347,NA
Grayson County High,00697,GRAYSON CO PBLC SCHS,NA,502,NA
Greensville County High,00706,GREENSVILLE CO PBLC SCHS,NA,717,NA
BRIDGEPORT ACADEMY,99997,HAMPTON CITY PBLC SCHS,NA,42,NA
HAMPTON PERFORMANCE LEARNING CENTER,99998,HAMPTON CITY PBLC SCHS,NA,52,NA
Academy at Virginia Randolph,00805,HENRICO CO PBLC SCHS,NA,122,NA
Center for Community Learning,99999,HENRY CO PBLC SCHS,NA,944,NA
New HOPE Academy,02421,HOPEWELL CITY PBLC SCHS,NA,28,NA
Thomas Walker High,00904,LEE CO PBLC SCHS,NA,307,NA
Lee High,02152,LEE CO PBLC SCHS,NA,670,NA
Empowerment Academy,99999,LYNCHBURG CITY PBLC SCHS,NA,944,NA
Lynchburg City Secondary Alternative,02347,LYNCHBURG CITY SECONDARY ALTERNATIVE,NA,107,NA
Bluestone  High,00996,MECKLENBURG CO PBLC SCHS,NA,539,NA
Park View High,01008,MECKLENBURG CO PBLC SCHS,NA,783,NA
Alternative Education Center,02453,MECKLENBURG CO PBLC SCHS,NA,14,NA
Metro Richmond Alternative Ed,02358,METRO RICHMOND ALTERNATIVE ED,NA,39,NA
Center for Autism,02089,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,NA,138,NA
Newport Academy,02639,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,NA,107,NA
Point Option Alternative School,01238,NEWPORT NEWS CITY PBLC SCHS,NA,70,NA
Norfolk Alternative High,02943,NORFOLK CITY PBLC SCHS,NA,23,NA
Northern Neck Regional Alternative Ed,02367,NORTHERN NECK REGIONAL ALTERNATIVE ED,NA,8,NA
J.I. Burton High,01162,NORTON CITY PBLC SCHS,NA,306,NA
Nottoway High,01942,NOTTOWAY CO PBLC SCHS,NA,593,NA
BLANDFORD Alternative School,00648,PETERSBURG CITY PBLC SCHS,NA,24,NA
Piedmont Alternative,02366,PIEDMONT ALTERNATIVE SCHOOL,NA,6,NA
Piedmont REG ED/IVY CREEK,02090,Piedmont Regional ED.,NA,83,NA
Regional Alternative School,99999,PITTSYLVANIA CO PBLC SCHS,NA,944,NA
Independent Hill,01302,PRINCE WILLIAM CO PBLC SCHS,NA,166,NA
New Directions Alternative Education Center,02459,PRINCE WILLIAM CO PBLC SCHS,NA,449,NA
Project Bridge/Russell Co,02363,PROJECT BRIDGE/RUSSELL CO,NA,19,NA
Project Renew/Northampton Co,02374,PROJECT RENEW/NORTHAMPTON CO,NA,21,NA
Reg Alternative Plus Self Project/Roanoke City,02350,REG ALTERNATIVE PLUS SELF PROJECT/ROANOKE CITY,NA,81,NA
Regional Alternative Ed/King William,02361,REGIONAL ALTERNATIVE ED/KING WILLIAM,NA,45,NA
Regional Alternative Ed/Stafford Co,02359,REGIONAL ALTERNATIVE ED/STAFFORD CO,NA,30,NA
Regional Alternative/Pittslvania Co,02355,REGIONAL ALTERNATIVE/PITTSLVANIA CO,NA,111,NA
Renaissance/Scott Co,02375,RENAISSANCE/SCOTT CO,NA,34,NA
Thomas Jefferson High,02070,RICHMOND CITY PBLC SCHS,NA,735,NA
Richmond Alternative School,02307,RICHMOND CITY PBLC SCHS,NA,983,NA
Forest Park Academy,02797,ROANOKE CITY PBLC SCHS,NA,97,NA
Castlewood High,01514,RUSSELL CO PBLC SCHS,NA,339,NA
Gate City High,01532,SCOTT CO PBLC SCHS,NA,537,NA
Rye Cove High,01536,SCOTT CO PBLC SCHS,NA,263,NA
Twin Springs High,01539,SCOTT CO PBLC SCHS,NA,240,NA
Shenandoah Valley Reg Alternative Ed/Genesis,02368,SHENANDOAH VALLEY REG ALTERNATIVE ED/GENESIS,NA,30,NA
Northwood High,01563,SMYTH CO PBLC SCHS,NA,281,NA
NORFOLK RE-ED,02649,SOUTHEASTERN COOP ED PGM,NA,69,NA
SUFFOLK RE-ED,02670,SOUTHEASTERN COOP ED PGM,NA,45,NA
VIRGINIA BEACH SECEP - RE-ED,02675,SOUTHEASTERN COOP ED PGM,NA,106,NA
CHESAPEAKE SECEP CENTER,02689,SOUTHEASTERN COOP ED PGM,NA,109,NA
Courthouse Academy Program,02749,SPOTSYLVANIA CO PBLC SCHS,NA,30,NA
Gateway Academy,02821,SPOTSYLVANIA CO PBLC SCHS,NA,32,NA
Regional/Alternative Center,03049,STAFFORD CO PBLC SCHS,NA,75,NA
Surry County High,01635,SURRY CO PBLC SCHS,NA,254,NA
The Regional Community Alternative Ed Continuum,02373,THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,NA,74,NA
Virginia School For Deaf,02558,The Virginia School for the Deaf and the Blind,NA,53,NA
Virginia School For Blind,02559,The Virginia School for the Deaf and the Blind,NA,31,NA
Tidewater Regional Alternative Ed Project,02349,TIDEWATER REGIONAL ALTERNATIVE ED PROJECT,NA,104,NA
The Renaissance Academy,02822,VA BEACH CITY PBLC SCHS,NA,396,NA
Union High,01792,WISE CO PBLC SCHS,NA,646,NA
Wise Co. Alternative Ed. Ctr.,02342,WISE CO PBLC SCHS,NA,88,NA
Fort Chiswell High,01800,WYTHE CO PBLC SCHS,NA,498,NA
George Wythe High,01801,WYTHE CO PBLC SCHS,NA,441,NA
Rural Retreat High,01805,WYTHE CO PBLC SCHS,NA,363,NA
CodeRVA Regional High,03031,CODERVA REGIONAL HIGH SCHOOL,NA,91,NA
N.B. Clements Junior High,01278,PRINCE GEORGE CO PBLC SCHS,NA,970,NA
Gate City Middle,02132,SCOTT CO PBLC SCHS,NA,488,NA
Campbell County Technical Center,00225,CAMPBELL CO PBLC SCHS,NA,296,NA
Center for Diversified Studies,02841,HENRICO CO PBLC SCHS,NA,20,NA
John J. Wright Educational And Cultural Center,02793,SPOTSYLVANIA CO PBLC SCHS,NA,18,NA
Phoenix Center,03041,CHESTERFIELD CO PBLC SCHS,NA,33,NA
Regional Alternative/Wythe Co,02364,REGIONAL ALTERNATIVE/WYTHE CO,NA,21,NA
Wise County Career-Technical Center,01796,WISE CO PBLC SCHS,NA,39,NA
