School,SCHID,LEA,id,apcount,schpop,APSAI,NOTES,FLAG,,,LIST OF IBS,http://www.ibmidatlantic.org/VA.html
Stonewall Jackson High,1321,PRINCE WILLIAM CO PBLC SCHS,75,7,2548,364,IB,,,,,
Thomas Jefferson High,2070,RICHMOND CITY PBLC SCHS,123,NA,735,NA,IB,,,,,
Salem High,2043,SALEM CITY PBLC SCHS,139,3,1293,431,IB,,,,,
Massaponax High,1881,SPOTSYLVANIA CO PBLC SCHS,88,26,2011,77.34615385,IB,,,,,
Spotsylvania High,1593,SPOTSYLVANIA CO PBLC SCHS,88,22,1166,53,IB,,,,,
Brooke Point High,591,STAFFORD CO PBLC SCHS,89,12,1862,155.1666667,IB,,,,,
Mountain View High,2464,STAFFORD CO PBLC SCHS,89,11,1777,161.5454545,IB,,,,,
King's Fork High,2426,SUFFOLK CITY PBLC SCHS,127,5,1501,300.2,IB,,,,,
Green Run Collegiate,2957,VA BEACH CITY PBLC SCHS,128,8,334,41.75,IB,,,,,
York High,1823,YORK CO PBLC SCHS,98,27,1115,41.2962963,IB,,,,,
John Randolph Tucker High,811,HENRICO CO PBLC SCHS,43,15,1737,115.8,IB ,,,,,
N.B. Clements Junior High,1278,PRINCE GEORGE CO PBLC SCHS,74,NA,970,NA,junior high shouldn't even be in data set maybe. Weird. VA doesn't usually have those,,,,,
Craig County High,2111,CRAIG CO PBLC SCHS,23,4,353,88.25,Low AP courses,,,,,
Clover Hill High,324,CHESTERFIELD CO PBLC SCHS,21,28,1878,67.07142857,magnet,,,,,
Cosby High,2661,CHESTERFIELD CO PBLC SCHS,21,22,2190,99.54545455,magnet,,,,,
James River High,766,CHESTERFIELD CO PBLC SCHS,21,32,2080,65,magnet,,,,,
Lloyd C. Bird High,337,CHESTERFIELD CO PBLC SCHS,21,18,1892,105.1111111,magnet,,,,,
Manchester High,56,CHESTERFIELD CO PBLC SCHS,21,21,2008,95.61904762,magnet,,,,,
Matoaca High,340,CHESTERFIELD CO PBLC SCHS,21,17,1707,100.4117647,magnet,,,,,
Monacan High,1833,CHESTERFIELD CO PBLC SCHS,21,26,1473,56.65384615,magnet,,,,,
Thomas Dale High,350,CHESTERFIELD CO PBLC SCHS,21,18,2357,130.9444444,magnet,,,,,
Bayside High,1675,VA BEACH CITY PBLC SCHS,128,17,1870,110,magnet,,,,,
Chantilly High,59,FAIRFAX CO PBLC SCHS,29,26,2775,106.7307692,magnet academy,,,,,
Fairfax High,463,FAIRFAX CO PBLC SCHS,29,28,2325,83.03571429,magnet academy,,,,,
Falls Church High,468,FAIRFAX CO PBLC SCHS,29,27,2108,78.07407407,magnet academy,,,,,
West Potomac High,489,FAIRFAX CO PBLC SCHS,29,26,2587,99.5,magnet academy,,,,,
Colonial Forge High,1923,STAFFORD CO PBLC SCHS,89,37,2105,56.89189189,no IB,,,,,
North Stafford High,1979,STAFFORD CO PBLC SCHS,89,32,1757,54.90625,no IB,,,,,
Stafford Senior High,1602,STAFFORD CO PBLC SCHS,89,37,1962,53.02702703,no IB,,,,,
Lakeland High,2219,SUFFOLK CITY PBLC SCHS,127,8,1033,129.125,no IB,,,,,
Nansemond River High,2218,SUFFOLK CITY PBLC SCHS,127,11,1553,141.1818182,no IB,,,,,
First Colonial High,1684,VA BEACH CITY PBLC SCHS,128,29,1798,62,no IB,,,,,
Floyd Kellam High,1685,VA BEACH CITY PBLC SCHS,128,26,2019,77.65384615,no IB,,,,,
Frank W. Cox High,2049,VA BEACH CITY PBLC SCHS,128,28,1810,64.64285714,no IB,,,,,
Green Run High,1879,VA BEACH CITY PBLC SCHS,128,20,1406,70.3,no IB,,,,,
Kempsville High,1694,VA BEACH CITY PBLC SCHS,128,22,1631,74.13636364,no IB,,,,,
Landstown High,2323,VA BEACH CITY PBLC SCHS,128,26,2149,82.65384615,no IB,,,,,
Ocean Lakes High,1046,VA BEACH CITY PBLC SCHS,128,29,2070,71.37931034,no IB,,,,,
Princess Anne High,412,VA BEACH CITY PBLC SCHS,128,34,1764,51.88235294,no IB,,,,,
Salem High,2166,VA BEACH CITY PBLC SCHS,128,21,1701,81,no IB,,,,,
Tallwood High,434,VA BEACH CITY PBLC SCHS,128,22,1944,88.36363636,no IB,,,,,
Grafton High,1443,YORK CO PBLC SCHS,98,24,1181,49.20833333,no IB,,,,,
Tabb High,1820,YORK CO PBLC SCHS,98,25,1136,45.44,no IB,,,,,
Independent Hill,1302,PRINCE WILLIAM CO PBLC SCHS,75,NA,166,NA,nontraditional,,,,,
Cedar Lane School,1991,FAIRFAX CO PBLC SCHS,29,NA,93,NA,special ed,,,,,
Quander Road School,558,FAIRFAX CO PBLC SCHS,29,1,87,87,special ed,,,,,
Technical Education & Career Center,109,ARLINGTON CO PBLC SCHS,7,NA,162,NA,tech,,,,,
HB Woodlawn Secondary Program,2659,ARLINGTON CO PBLC SCHS,7,26,683,26.26923077,,,,,,
Wakefield High,111,ARLINGTON CO PBLC SCHS,7,33,1945,58.93939394,,,,,,
Hayfield Secondary,493,FAIRFAX CO PBLC SCHS,29,25,2914,116.56,,,,,,
Herndon High,495,FAIRFAX CO PBLC SCHS,29,24,2336,97.33333333,,,,,,
Lake Braddock Secondary,516,FAIRFAX CO PBLC SCHS,29,32,4254,132.9375,,,,,,
Langley High,517,FAIRFAX CO PBLC SCHS,29,30,1943,64.76666667,,,,,,
Lee High,521,FAIRFAX CO PBLC SCHS,29,8,1740,217.5,,,,,,
Madison High,532,FAIRFAX CO PBLC SCHS,29,24,2222,92.58333333,,,,,,
McLean High,538,FAIRFAX CO PBLC SCHS,29,29,2167,74.72413793,,,,,,
Oakton High,550,FAIRFAX CO PBLC SCHS,29,32,2629,82.15625,,,,,,
South County High,2436,FAIRFAX CO PBLC SCHS,29,21,2194,104.4761905,,,,,,
Thomas Jefferson High School for Science and Technology,2034,FAIRFAX CO PBLC SCHS,29,23,1787,77.69565217,,,,,,
West Springfield High,585,FAIRFAX CO PBLC SCHS,29,26,2191,84.26923077,,,,,,
Westfield High,2529,FAIRFAX CO PBLC SCHS,29,29,2639,91,,,,,,
Lee Davis High,772,HANOVER CO PBLC SCHS,42,18,1483,82.38888889,,,,,,
Patrick Henry High,776,HANOVER CO PBLC SCHS,42,18,1368,76,,,,,,
The Georgetown School,2691,HANOVER CO PBLC SCHS,42,18,48,2.666666667,,,,,,
Deep Run High,2278,HENRICO CO PBLC SCHS,43,16,1720,107.5,,,,,,
Douglas S. Freeman High,795,HENRICO CO PBLC SCHS,43,20,1745,87.25,,,,,,
Glen Allen High,2837,HENRICO CO PBLC SCHS,43,16,1753,109.5625,,,,,,
Hermitage High,806,HENRICO CO PBLC SCHS,43,14,1643,117.3571429,,,,,,
Highland Springs High,809,HENRICO CO PBLC SCHS,43,14,1827,130.5,,,,,,
Mills E. Godwin High,1851,HENRICO CO PBLC SCHS,43,20,1795,89.75,,,,,,
Varina High,835,HENRICO CO PBLC SCHS,43,11,1524,138.5454545,,,,,,
Charles J. Colgan Sr. High,3025,PRINCE WILLIAM CO PBLC SCHS,75,18,2262,125.6666667,,,,,,
Forest Park High,2542,PRINCE WILLIAM CO PBLC SCHS,75,27,2160,80,,,,,,
Freedom High,2458,PRINCE WILLIAM CO PBLC SCHS,75,14,2276,162.5714286,,,,,,
Osbourn Park High,1313,PRINCE WILLIAM CO PBLC SCHS,75,18,2166,120.3333333,,,,,,
Patriot High,2850,PRINCE WILLIAM CO PBLC SCHS,75,20,2701,135.05,,,,,,
Potomac High,1857,PRINCE WILLIAM CO PBLC SCHS,75,11,1957,177.9090909,,,,,,
Courtland High,1873,SPOTSYLVANIA CO PBLC SCHS,88,26,1168,44.92307692,,,,,,
Riverbend High,2462,SPOTSYLVANIA CO PBLC SCHS,88,27,1968,72.88888889,,,,,,
