School,SCHID,LEA,class,dindex,pctwhite,pctblack,schoolsum,pctlatinx
Monticello High,01747,ALBEMARLE CO PBLC SCHS,chem,0.44432132963988913,0.7315789473684211,0.06842105263157895,190,0.10526315789473684
Monticello High,01747,ALBEMARLE CO PBLC SCHS,bio,0.5730709971959399,0.6142595978062158,0.14076782449725778,547,0.1590493601462523
Monticello High,01747,ALBEMARLE CO PBLC SCHS,gate,0.3183755165289255,0.8181818181818182,0.011363636363636364,176,NA
Monticello High,01747,ALBEMARLE CO PBLC SCHS,apany,0.37216946676406126,0.7837837837837838,0.032432432432432434,370,0.051351351351351354
Monticello High,01747,ALBEMARLE CO PBLC SCHS,alg2,0.5010272022969728,0.6865671641791045,0.05970149253731344,201,0.12437810945273632
Monticello High,01747,ALBEMARLE CO PBLC SCHS,enr,0.5573378871438835,0.6322751322751323,0.12962962962962962,1134,0.1455026455026455
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,alg11112,0.8508875739644971,0,0.20588235294117646,65,NA
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,alg10910,0.8392643680229046,0.0625,0.2253787878787879,943,NA
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,chem,0.7171878099583415,0.3380281690140845,0.31338028169014087,568,0.25528169014084506
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,bio,0.6619546392346495,0.19544592030360533,0.28779253636938645,1581,0.4642631246046806
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,gate,0.5414275090101255,0.648471615720524,0.14192139737991266,458,NA
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,apany,0.6850939890336629,0.46003898635477586,0.23586744639376217,1026,0.20662768031189085
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,alg2,0.7203124812210805,0.3054263565891473,0.2992248062015504,645,0.30387596899224806
T.C. Williams High,00054,ALEXANDRIA CITY PBLC SCHS,enr,0.6878444159811802,0.2206844489179668,0.28938097634625065,3974,0.4209864116758933
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,alg11112,0.5555555555555556,1,0,3,NA
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,alg10910,0.5228328793462587,0.8181818181818181,0.10606060606060606,79,NA
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,chem,0.17087931648273402,0.9056603773584906,0.09433962264150944,53,0
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,bio,0.22791663749445734,0.8743961352657005,0.0821256038647343,207,0.00966183574879227
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,gate,0.06185437137818095,0.9682539682539683,0.023809523809523808,126,NA
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,apany,0.17999999999999994,0.9,0,10,0
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,alg2,0.22684310018903586,0.8695652173913043,0.13043478260869565,46,0
Alleghany High,01883,ALLEGHANY CO PBLC SCHS,enr,0.23324896839471299,0.8713692946058091,0.08160442600276625,723,0.011065006915629323
Altern Ed Prgm/Behav Disord Youth/Montgomery,02353,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,alg11112,0.75,1,0,2,NA
Altern Ed Prgm/Behav Disord Youth/Montgomery,02353,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,alg10910,0.75,1,0,10,NA
Altern Ed Prgm/Behav Disord Youth/Montgomery,02353,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,bio,0,1,0,3,0
Altern Ed Prgm/Behav Disord Youth/Montgomery,02353,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,gate,0,1,0,1,NA
Altern Ed Prgm/Behav Disord Youth/Montgomery,02353,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,enr,0.31689488971879076,0.8135593220338984,0.14124293785310735,177,0.03389830508474576
