LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,02558,Virginia School For Deaf,510005802558,No,14,14,0,2,2,14,17,0,2,1,4,4,0,0
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,02559,Virginia School For Blind,510005802559,No,11,11,0,1,0,9,11,0,2,1,4,3,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00006,Chincoteague Elementary,510006000006,No,18,16,2,2,0,18,16,3,1,0,0,1,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00007,Chincoteague High,510006000007,No,24,24,0,1,2,24,22,15,1,0,0,1,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00009,Kegotank Elementary,510006000009,No,49,45,4,3,3,49,49,21,1,0,0,1,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00012,Pungoteague Elementary,510006000012,No,39,36,3,2,2,39,36,7,1,0,0,1,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,00014,Tangier Combined,510006000014,No,12,12,0,0,0,12,12,6,0,0,0,0,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,01737,Accawmacke Elementary,510006001737,No,39,39,0,2,3,39,39,8,1,0,0,1,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,01738,Metompkin Elementary,510006001738,No,45,41,4,3,5,45,41,14,1,0,0,1,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,02003,Nandua High,510006002003,No,53,53,0,6,0,59,52,21,3,1,0,1,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,02028,Arcadia High,510006002028,No,53,50,3,5,5,53,43,12,3,1,0,1,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,02433,Nandua Middle,510006002433,No,49,48,1,2,1,49,43,17,1,0,0,1,0.27,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,02434,Arcadia Middle,510006002434,No,46,43,3,2,1,46,39,11,1,0,0,1,0.27,0
VA,VIRGINIA,5100061,MAGGIE L. WALKER GOV SCH,02561,Maggie L. Walker Governor's School,510006102561,No,53,53,0,0,0,64,61,10,4,0,1,1,0,0
VA,VIRGINIA,5100070,DEPARTMENT OF JUVENILE JUSTICE,02967,Yvonne B. Miller High School,510007002967,Yes,37,34,3,1,1,33,24,24,3,0,NA,0,1,0
VA,VIRGINIA,5100072,LYNCHBURG CITY SECONDARY ALTERNATIVE,02347,Lynchburg City Secondary Alternative,510007202347,No,17,14,3,1,2,17,17,2,1,0,0,0.2,0,0
VA,VIRGINIA,5100073,ENTERPRISE ACADEMY/NEWPORT NEWS CITY,02348,Enterprise Academy/Newport News City,510007302348,No,28,27,1,1,2,20,17,10,1,1,2,1,0,0
VA,VIRGINIA,5100074,TIDEWATER REGIONAL ALTERNATIVE ED PROJECT,02349,Tidewater Regional Alternative Ed Project,510007402349,No,18,18,0,0,1,18,17,9,0,0,0,0,0,0
VA,VIRGINIA,5100075,REG ALTERNATIVE PLUS SELF PROJECT/ROANOKE CITY,02350,Reg Alternative Plus Self Project/Roanoke City,510007502350,No,17.06,17.06,0,1,0,17,13,4.06,1,0,1,0.5,0,0
VA,VIRGINIA,5100078,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,02353,Altern Ed Prgm/Behav Disord Youth/Montgomery,510007802353,No,14.82,13.99,0.83,7.69,1,17,19,5,1,0.25,0,1,0.25,0.1
VA,VIRGINIA,5100080,REGIONAL ALTERNATIVE/PITTSLVANIA CO,02355,Regional Alternative/Pittslvania Co,510008002355,No,11,11,0,0,0,6,6,6,0,1,0,0,0,0
VA,VIRGINIA,5100082,THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,02373,The Regional Community Alternative Ed Continuum,510008202373,No,12,9,3,2,0,12,13,6,1,0,0,0,0.35,0.35
VA,VIRGINIA,5100083,PROJECT RENEW/NORTHAMPTON CO,02374,Project Renew/Northampton Co,510008302374,No,2,2,0,1,0,2,1,0,0,0,1,0,0,0
VA,VIRGINIA,5100084,RENAISSANCE/SCOTT CO,02375,Renaissance/Scott Co,510008402375,No,4.5,4.5,0,0,0,4,4,0,0.33,0.25,0,0.5,0.1,0.1
VA,VIRGINIA,5100086,CROSSROADS ALTERNATIVE/BRISTOL CITY,02357,Crossroads Alternative/Bristol City,510008602357,No,4,4,0,0,0,1,2,0,0,1,0,1,0,0
VA,VIRGINIA,5100087,METRO RICHMOND ALTERNATIVE ED,02358,Metro Richmond Alternative Ed,510008702358,No,4,4,0,0,0,4,4,0,0,0,0,0,0,0
VA,VIRGINIA,5100088,REGIONAL ALTERNATIVE ED/STAFFORD CO,02359,Regional Alternative Ed/Stafford Co,510008802359,No,9,9,0,0,0,6,6,9,2,0,0,0,0,3
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00002,Agnor-Hurt Elementary,510009000002,No,46.1,46.1,0,0.3,1,46,43,4,1,0.16,0,1.04,0.41,0.05
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00003,Virginia L. Murray Elementary,510009000003,No,19.96,19.96,0,0.5,1,21,18,0,0.5,0.14,0,1.04,0.36,0.05
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00015,Albemarle High,510009000015,No,154.68,143.18,11.5,7.5,11,159,137,31,10,1.3,0,1.08,1.7,1.22
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00017,Broadus Wood Elementary,510009000017,No,22.2,21.2,1,2,0,20,16,5,0.5,0.04,0,1.02,0.22,0.03
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00018,Brownsville Elementary,510009000018,No,54.34,53.34,1,2,1,55,43,10.5,2,0.26,0,1.07,0.67,0.08
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00020,Crozet Elementary,510009000020,No,27.9,26.76,1.14,0,3.6,30,26,3,1,0.12,0,1.03,0.31,0.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00022,Hollymead Elementary,510009000022,No,34.41,34.41,0,0,0,35,33,6,1,0.07,0,1.04,0.39,0.05
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00023,Jack Jouett Middle,510009000023,No,51.74,50.74,1,1,2,56,50,15,2.29,0.09,0,1.05,0.5,0.06
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00024,Jackson P. Burley Middle,510009000024,No,48.97,46.97,2,0,0,50,46,13.33,2,0.2,0,1.05,0.51,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00025,Joseph T. Henley Middle,510009000025,No,59.28,54.28,5,4,1,62,50,19.67,3.4,0.13,0,1.08,0.76,0.1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00026,Leslie H. Walton Middle,510009000026,No,34.88,30.88,4,1,2,37,32,6.5,2,0.12,0,1.03,0.3,0.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00027,Mary Carr Greer Elementary,510009000027,No,64.8,64.8,0,3,2,71,57,15.5,2.5,0.1,0,1.06,0.56,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00028,Meriwether Lewis Elementary,510009000028,No,32.34,29.34,3,0,2.62,34,26,7,1,0.09,0,1.02,0.22,0.03
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,00029,Red Hill Elementary,510009000029,No,18.23,17.23,1,0,1,19,15,2,0.5,0.06,0,1.02,0.17,0.02
