School,id,SCHID,LEA,class,dindex,pctwhite,pctblack,schoolsum,pctlatinx,n,Name,division,d_index,metric,urban,mostly,rural,Expenditure_per_pupil,census,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,pct_rural,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,pct_nonwhite_adv
Chincoteague High,1,00007,ACCOMACK CO PBLC SCHS,alg11112,NaN,NaN,NaN,0,NA,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Chincoteague High,1,00007,ACCOMACK CO PBLC SCHS,alg10910,0.5680473372781064,0.7272727272727272,0.2727272727272727,26,NA,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Chincoteague High,1,00007,ACCOMACK CO PBLC SCHS,alg108,0,1,0,4,NA,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Chincoteague High,1,00007,ACCOMACK CO PBLC SCHS,chem,0.06887755102040805,0.9642857142857143,0,28,0.03571428571428571,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Chincoteague High,1,00007,ACCOMACK CO PBLC SCHS,bio,0.3309948979591836,0.8035714285714286,0.14285714285714285,56,0.05357142857142857,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Chincoteague High,1,00007,ACCOMACK CO PBLC SCHS,gate,0,1,0,26,NA,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Chincoteague High,1,00007,ACCOMACK CO PBLC SCHS,apany,0.09972299168975085,0.9473684210526315,0,19,0.05263157894736842,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Chincoteague High,1,00007,ACCOMACK CO PBLC SCHS,alg2,0.19753086419753085,0.8888888888888888,0.1111111111111111,45,0,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Chincoteague High,1,00007,ACCOMACK CO PBLC SCHS,enr,0.30977064893148787,0.8181818181818182,0.13986013986013987,286,0.03496503496503497,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Nandua High,1,02003,ACCOMACK CO PBLC SCHS,alg11112,NaN,NaN,NaN,0,NA,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
Nandua High,1,02003,ACCOMACK CO PBLC SCHS,alg10910,0.7722107438016529,0.3551401869158879,0.40186915887850466,132,NA,4,Accomack County,2,0.661955942301923,1.6153846153846154,0,0,1,11844,33164,0.5206770532794768,0.028851702250432775,0.54375,0.2248509328717061,0.0015387574533564147,0.008463165993460281,0.36545489517214846,9.617234083477592e-4,0.3921908059242162,0.006347374495095211,100,174,69,0,0,0,40,26,102,41.379310344827594
