School,SCHID,LEA,dindex_alg11112,pctwhite_alg11112,pctblack_alg11112,schoolsum_alg11112,dindex_alg10910,pctwhite_alg10910,pctblack_alg10910,schoolsum_alg10910,dindex_alg108,pctwhite_alg108,pctblack_alg108,schoolsum_alg108,dindex_chem,pctwhite_chem,pctblack_chem,pctlatinx_chem,schoolsum_chem,dindex_bio,pctwhite_bio,pctlatinx_bio,schoolsum_bio,pctblack_bio,dindex_gate,pctwhite_gate,schoolsum_gate,pctblack_gate,dindex_apany,pctwhite_apany,pctlatinx_apany,schoolsum_apany,pctblack_apany,dindex_alg2,pctwhite_alg2,schoolsum_alg2,pctlatinx_alg2,pctblack_alg2,dindex_enr,pctwhite_enr,pctblack_enr,pctlatinx_enr,schoolsum_enr
Amelia County High,01828,AMELIA CO PBLC SCHS,0.6944444444444444,0.2,0.2,6,0.6016663996154463,0.6714285714285714,0.2285714285714286,79,NA,NA,NA,NA,0.5351080246913581,0.625,0.2638888888888889,0.05555555555555555,72,0.524140625,0.63125,0.06875,160,0.26875,0.41455078125,0.75,64,0.125,0.30367346938775497,0.8285714285714286,0,35,0.08571428571428572,0.3522448979591837,0.7857142857142857,70,0.014285714285714285,0.17142857142857143,0.5113218605146785,0.6551094890510949,0.23357664233576642,0.04927007299270073,548
Amherst County High,00065,AMHERST CO PBLC SCHS,NaN,NaN,NaN,0,0.7064569241723033,0.6023391812865497,0.28654970760233917,212,NA,NA,NA,NA,0.4594828559599533,0.7116564417177914,0.17177914110429449,0.04294478527607362,163,0.541887379888251,0.6203866432337434,0.03690685413005272,569,0.2565905096660808,0.29111531190926276,0.8369565217391305,92,0.03260869565217391,0.4845136834319527,0.6923076923076923,0.0625,208,0.17307692307692307,0.45812164319930326,0.7108433734939759,166,0.03614457831325301,0.18072289156626506,0.5080596058323985,0.6573839662447257,0.23459915611814347,0.035443037974683546,1185
Appomattox County High,00076,APPOMATTOX CO PBLC SCHS,NaN,NaN,NaN,0,0.6816460905349793,0.5714285714285715,0.36607142857142855,135,NA,NA,NA,NA,0.4406779661016951,0.7203389830508474,0.19491525423728814,0.025423728813559324,118,0.48753090565001067,0.6795580110497238,0.022099447513812154,181,0.20994475138121546,0.1765752936988253,0.9056603773584906,53,0.03773584905660377,0.38979591836734695,0.7714285714285715,0.02857142857142857,70,0.08571428571428572,0.37286423701708615,0.7798165137614679,109,0.01834862385321101,0.11926605504587157,0.5003755102040816,0.6614285714285715,0.23857142857142857,0.025714285714285714,700
Technical Education & Career Center,00109,ARLINGTON CO PBLC SCHS,0.7933884297520661,0,0,11,0.7954632833525567,0.038461538461538464,0.038461538461538464,51,NA,NA,NA,NA,0.375,0.25,0,0.75,4,0.54,0.05,0.65,20,0.1,0,0,2,0,NA,NA,NA,NA,NA,0.6591999999999999,0.33999999999999997,50,0.4599999999999999,0.07999999999999999,0.5161560737692427,0.13580246913580246,0.08641975308641975,0.6728395061728395,162
Wakefield High,00111,ARLINGTON CO PBLC SCHS,0.8904320987654322,0.2222222222222222,0.1111111111111111,36,0.8752965351331483,0.11282051282051281,0.23589743589743592,346,NA,NA,NA,NA,0.7412402727370878,0.2564841498559078,0.20461095100864554,0.3688760806916426,347,0.7148459335575028,0.24926686217008798,0.4149560117302053,682,0.20527859237536658,0.7278592249657064,0.41435185185185186,432,0.12731481481481483,0.75230634755463055,0.3096774193548387,0.31870967741935485,775,0.1754838709677419,0.7347638255196279,0.25821596244131456,426,0.38497652582159625,0.19248826291079812,0.7053936994865221,0.2185089974293059,0.2,0.4442159383033419,1945
Washington-Lee High,00112,ARLINGTON CO PBLC SCHS,0.8903524385902457,0.12500000000000003,0.12500000000000003,53,0.8769148078473529,0.14084507042253522,0.13380281690140844,244,NA,NA,NA,NA,0.6281668209746651,0.5573394495412844,0.06651376146788991,0.2018348623853211,436,0.7084015009642094,0.4287598944591029,0.28100263852242746,758,0.08839050131926122,0.5915998913959106,0.6029023746701847,758,0.059366754617414245,0.6543356208897708,0.5236886632825719,0.21996615905245348,1182,0.07191201353637902,0.692788279773157,0.45652173913043476,460,0.2717391304347826,0.0891304347826087,0.6965329266314538,0.423728813559322,0.08657810352725609,0.31699496106275765,2183
Yorktown High,00115,ARLINGTON CO PBLC SCHS,0.890625,0.125,0.125,16,0.8853220408442046,0.36363636363636365,0.16883116883116883,121,NA,NA,NA,NA,0.5508232506231532,0.6430155210643016,0.05321507760532151,0.14412416851441243,451,0.5398606362141096,0.6485671191553545,0.1689291101055807,663,0.06033182503770739,0.41720615625919044,0.7524752475247525,505,0.02574257425742574,0.47478833742570004,0.7087912087912088,0.10073260073260074,1092,0.04212454212454213,0.5289828449911609,0.6611226611226612,481,0.14760914760914762,0.0582120582120582,0.5460755659474972,0.6448453608247423,0.05824742268041237,0.1592783505154639,1940
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,0.74,0,0.16666666666666669,10,0.8804,0.4074074074074074,0.1111111111111111,50,0.5862721893491124,0.7321428571428571,0.017857142857142863,65,0.5446291166512773,0.6491228070175439,0.04385964912280702,0.09649122807017543,114,0.5332699167657552,0.6482758620689655,0.19310344827586207,145,0.041379310344827586,0.4770830309188561,0.7048192771084337,332,0.02108433734939759,0.5178850156087409,0.6653225806451613,0.17338709677419356,248,0.03225806451612903,0.5491437383329276,0.6396396396396397,111,0.16216216216216217,0.02702702702702703,0.5403900199147247,0.6456808199121523,0.03513909224011713,0.17715959004392387,683
New Directions Alternative H.S. Program,02860,ARLINGTON CO PBLC SCHS,0.9444444444444444,0,0.5,6,NaN,NaN,NaN,0,NA,NA,NA,NA,0.40625,0.125,0.125,0.75,8,0.5619834710743803,0,0.5454545454545454,11,0.36363636363636365,0.5,0.5,2,0,NA,NA,NA,NA,NA,0,0,3,1,0,0.5674931129476584,0.09090909090909091,0.30303030303030304,0.5757575757575758,33
Arlington Community High,02875,ARLINGTON CO PBLC SCHS,0.75,0,0,42,0.84375,0,0.25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,26,0,0,0,2,0,NA,NA,NA,NA,NA,0.31999999999999984,0,10,0.8,0.2,0.31618480725623593,0.04166666666666667,0.0654761904761905,0.8214285714285715,168
