id,Name,Census Total,Census Urban,Census Rural,Census Percent Rural,urbanicity,AB_IB_Dual_Enrollment,Hispanic_any,AI_NA,Asian,Black_or_AA,NW_OPI,White,Two or more races,Full time enrollment,Part time enrollment,Total Enrollment,Total FRPL,Total EL,Total sped,n_ Standard Diploma,n_STD FRPL,n_STD LEP,n_ STD NA,n_STD Asian,n_STD Black,n_STD Latinx,n_STD White,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,n_ Applied,GED,Cohort (2017) size,n_NA,n_Asian,n_Black,n_Latinx,n_White,n_FRPL,n_Drop out,n_NA DO,n_Asian DO,n_Black DO,n_Latinx DO,n_White DO,census,SUM,Division num,urban,mostly,rural,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,d_index,metric
12,Botetourt County,33148,11901,21247,64.1,mostly_rural,363,177,5,39,103,1,4157,166,4648,0,4648,1265,85,624,104,35,0,0,0,0,0,98,238,19,0,0,0,0,0,215,11,7,372,0,0,12,0,333,95,0,0,0,0,NA,0,33148,26,6,0,1,0,0.2721600688468158,0.07809810671256455,0.6611111111111111,0.03808089500860585,0.0010757314974182443,0.008390705679862307,0.022160068846815834,2.151462994836489e-4,0.8943631669535284,0.03571428571428571,0.19682618474883068,2
13,Brunswick County,17434,4270,13164,75.5,mostly_rural,37,74,3,5,1222,0,305,35,1644,0,1644,1045,51,222,96,52,0,0,0,75,0,16,29,0,0,0,0,20,0,0,0,3,140,0,0,108,0,28,138,15,0,0,13,0,0,17434,17,8,0,1,0,0.6356447688564477,0.022506082725060828,0.20279720279720279,0.045012165450121655,0.0018248175182481751,0.0030413625304136255,0.7433090024330901,0,0.18552311435523114,0.021289537712895375,0.41058098164230605,1.3076923076923077
14,Buchanan County,24098,0,24098,100,rural,124,7,2,2,8,2,2807,8,2836,0,2836,2008,NA,469,150,107,0,0,0,0,0,148,69,39,0,0,0,0,0,69,0,3,237,0,0,0,0,235,182,11,0,0,0,0,11,24098,NA,NA,0,0,1,0.7080394922425952,0.04372355430183357,0.296137339055794,0.002468265162200282,7.052186177715092e-4,7.052186177715092e-4,0.0028208744710860366,7.052186177715092e-4,0.9897743300423131,0.0028208744710860366,0.02032327659091955,NA
15,Buckingham County,17146,0,17146,100,rural,184,80,3,5,746,0,1093,162,2089,0,2089,1259,NA,282,67,43,0,0,0,31,0,32,65,32,0,0,0,24,0,34,0,0,143,0,0,57,0,73,100,0,0,0,0,0,0,17146,28,8,0,0,1,0.6026807084729535,0.0880804212541886,0.49242424242424243,0.03829583532790809,0.0014360938247965534,0.0023934897079942556,0.3571086644327429,0,0.5232168501675443,0.07754906653901389,0.5912293096048254,2.1538461538461537
16,Campbell County,54842,21326,33516,61.1,mostly_rural,425,295,35,99,1190,8,5815,453,7895,0,7895,3625,198,911,308,131,0,0,0,67,0,220,288,56,0,0,0,28,0,241,26,23,628,0,0,96,14,487,275,24,0,0,0,0,19,54842,23,5,0,1,0,0.4591513616212793,0.05383153894870171,0.4304932735426009,0.037365421152628246,0.004433185560481318,0.01253958201393287,0.15072830905636478,0.001013299556681444,0.7365421152628245,0.05737808739708676,0.42992034865462253,1.7692307692307692
17,Caroline County,28545,6165,22380,78.4,mostly_rural,143,347,15,25,1167,8,2302,386,4250,0,4250,1961,116,510,153,85,0,0,0,57,0,80,122,45,0,0,0,27,0,75,0,0,314,0,0,91,16,180,252,24,0,0,0,0,16,28545,23,3,0,1,0,0.46141176470588235,0.03364705882352941,0.4080267558528428,0.0816470588235294,0.0035294117647058825,0.0058823529411764705,0.27458823529411763,0.0018823529411764706,0.5416470588235294,0.0908235294117647,0.6162540069204153,1.7692307692307692
18,Carroll County,30042,858,29184,97.1,mostly_rural,252,275,9,12,25,0,3441,45,3807,0,3807,2223,164,653,128,67,0,0,0,0,0,119,138,49,0,0,0,0,0,131,13,6,306,0,0,0,0,284,188,16,0,0,0,0,16,30042,25,7,0,1,0,0.5839243498817966,0.06619385342789598,0.4584717607973422,0.07223535592329919,0.002364066193853428,0.0031520882584712374,0.006566850538481744,0,0.9038613081166272,0.01182033096926714,0.1776184208247578,1.9230769230769231
19,Charles City County,7256,0,7256,100,rural,25,6,40,0,363,7,201,33,650,0,650,392,10,100,25,11,0,0,0,17,0,0,28,0,0,0,0,19,0,0,0,0,54,0,0,37,0,10,33,0,0,0,0,0,0,7256,22,1,0,0,1,0.6030769230769231,0.038461538461538464,0.5283018867924528,0.009230769230769232,0.06153846153846154,0,0.5584615384615385,0.010769230769230769,0.30923076923076925,0.05076923076923077,0.5859313609467457,1.6923076923076923
20,Charlotte County,12586,0,12586,100,rural,120,42,2,8,544,0,1177,107,1880,1,1881,1103,13,260,48,30,0,0,0,21,0,24,82,34,0,0,0,31,0,49,0,6,154,0,0,61,0,89,97,14,0,0,0,0,11,12586,19,8,0,0,1,0.5863902179691654,0.06379585326953748,0.5466666666666666,0.022328548644338118,0.001063264221158958,0.004253056884635832,0.2892078681552366,0,0.6257309941520468,0.05688463583200425,0.5210658870526242,1.4615384615384615
21,Chesterfield County,316236,297487,18749,5.9,urban,6042,9536,117,2065,15682,107,30554,2854,60915,61,60976,19666,5437,7403,1711,598,43,0,28,660,216,725,2603,324,0,0,130,578,203,1590,130,51,4902,12,168,1431,562,2543,1720,350,0,0,104,106,124,316236,33,1,1,0,0,0.3225203358698504,0.09908816583573865,0.5372549019607843,0.15638939910784572,0.0019187877197585936,0.03386578325898714,0.2571831540278142,0.0017547887693518762,0.5010823930726843,0.04680530044607715,0.6549712280280134,2.5384615384615383
