id,Name,Census Total,Census Urban,Census Rural,Census Percent Rural,urbanicity,AB_IB_Dual_Enrollment,Hispanic_any,AI_NA,Asian,Black_or_AA,NW_OPI,White,Two or more races,Full time enrollment,Part time enrollment,Total Enrollment,Total FRPL,Total EL,Total sped,n_ Standard Diploma,n_STD FRPL,n_STD LEP,n_ STD NA,n_STD Asian,n_STD Black,n_STD Latinx,n_STD White,n_Advanced,n_ADV FRPL,n_ADV LEP,n_ADV NA,n_ADV Asian,n_ADV Black,n_ADV Latinx,n_ADV White,n_ Applied,GED,Cohort (2017) size,n_NA,n_Asian,n_Black,n_Latinx,n_White,n_FRPL,n_Drop out,n_NA DO,n_Asian DO,n_Black DO,n_Latinx DO,n_White DO,census,SUM,Division num,urban,mostly,rural,pct_frpl,pct_apib,pct_adv,pct_hisp,pct_ai_na,pct_asian,pct_black,pct_nwopi,pct_white,pct_2more,d_index,metric
52,Lee County,25587,112,25475,99.6,mostly_rural,173,43,5,9,18,0,3164,22,3261,0,3261,1964,40,513,132,46,0,0,0,0,0,130,44,12,0,0,0,0,0,43,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25587,20,7,0,1,0,0.6022692425636308,0.05305121128488194,NA,0.013186139221097824,0.0015332720024532351,0.0027598896044158236,0.005519779208831647,0,0.9702545231524072,0.006746396810794235,0.0583463362886316,1.5384615384615385
53,Loudoun County,312311,272957,39354,12.6,urban,9085,13841,415,17106,5431,88,39415,4340,80636,329,80965,15433,144,8946,1313,430,95,0,137,176,355,577,3810,359,0,10,660,233,419,2307,89,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312311,38,4,1,0,0,0.1906132279379979,0.11220897918853825,NA,0.17095041067127772,0.005125671586487988,0.21127647749027356,0.06707836719570184,0.0010868893966528748,0.4868152905576484,0.05360340888038041,0.6817487934028842,2.923076923076923
54,Louisa County,33153,0,33153,100,mostly_rural,360,252,12,38,790,5,3432,371,4900,0,4900,2238,110,862,113,45,0,0,0,28,0,79,175,54,0,0,0,32,0,126,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33153,37,5,0,1,0,0.456734693877551,0.07346938775510205,NA,0.05142857142857143,0.0024489795918367346,0.007755102040816327,0.16122448979591836,0.0010204081632653062,0.7004081632653061,0.07571428571428572,0.47499033735943375,2.8461538461538463
55,Lunenburg County,12914,0,12914,100,mostly_rural,69,155,8,3,507,2,780,73,1528,0,1528,1004,251,165,52,41,0,0,0,19,0,32,47,30,0,0,0,16,0,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12914,24,8,0,1,0,0.6570680628272252,0.045157068062827224,NA,0.10143979057591623,0.005235602094240838,0.001963350785340314,0.3318062827225131,0.0013089005235602095,0.5104712041884817,0.047774869109947646,0.6167182917134947,1.8461538461538463
56,Madison County,13308,0,13308,100,rural,170,57,0,8,141,1,1375,126,1708,61,1769,774,3823,172,46,17,0,0,0,0,0,39,66,0,0,0,0,0,0,54,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13308,25,4,0,0,1,0.4375353306953081,0.09609949123798757,NA,0.0322215941209723,0,0.0045223289994347085,0.07970604861503675,5.652911249293386e-4,0.7772752967778406,0.07122668174109667,0.38335781649991824,1.9230769230769231
57,Mathews County,8978,0,8978,100,rural,98,37,2,9,86,0,897,51,1082,0,1082,509,95,164,45,21,0,0,0,0,0,40,48,10,0,0,0,0,0,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8978,23,3,0,0,1,0.4704251386321627,0.09057301293900184,NA,0.034195933456561925,0.0018484288354898336,0.00831792975970425,0.07948243992606285,0,0.8290203327171903,0.04713493530499076,0.3029441610490603,1.7692307692307692
58,Mecklenburg County,32727,7262,25465,77.8,mostly_rural,457,218,5,21,1873,2,2033,186,4338,0,4338,2708,14,525,141,93,0,0,0,75,0,60,163,66,0,0,0,0,0,94,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32727,24,8,0,1,0,0.6242508068234209,0.1053480866758875,NA,0.05025357307514984,0.001152604887044721,0.004840940525587829,0.43176579068695253,4.610419548178884e-4,0.4686491470723836,0.042876901798063624,0.5895574528632959,1.8461538461538463
59,Middlesex County,10959,0,10959,100,rural,24,44,3,6,220,0,935,77,1285,0,1285,556,325,150,26,16,0,0,0,10,0,14,33,24,0,0,0,0,0,26,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10959,23,3,0,0,1,0.43268482490272375,0.01867704280155642,NA,0.034241245136186774,0.0023346303501945525,0.004669260700389105,0.17120622568093385,0,0.7276264591439688,0.05992217898832685,0.43645778134415364,1.7692307692307692
60,Montgomery County,94392,70864,23528,24.9,urban,1376,523,15,379,419,2,8099,429,9866,69,9935,3558,54,974,245,119,0,0,0,14,0,204,382,55,0,0,14,0,14,334,27,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94392,33,6,1,0,0,0.35812783090085554,0.1385002516356316,NA,0.052642174131857074,0.001509813789632612,0.038147961751384,0.04217413185707096,2.0130850528434828e-4,0.8151987921489683,0.043180674383492705,0.32757891569484493,2.5384615384615383
62,Nelson County,15020,0,15020,100,rural,145,129,5,13,240,0,1409,86,1882,0,1882,1013,40,278,57,35,0,0,0,12,0,39,79,28,0,0,0,0,0,64,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15020,20,5,0,0,1,0.5382571732199788,0.07704569606801276,NA,0.06854410201912858,0.002656748140276302,0.006907545164718385,0.1275239107332625,0,0.7486716259298618,0.04569606801275239,0.41638725167451374,1.5384615384615385
63,New Kent County,18429,0,18429,100,rural,167,170,37,34,314,2,2506,181,3244,0,3244,662,1913,445,76,17,0,0,0,13,0,57,138,0,0,0,0,14,0,107,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18429,24,1,0,0,1,0.20406905055487054,0.05147965474722565,NA,0.05240443896424168,0.011405672009864365,0.010480887792848335,0.0967940813810111,6.165228113440197e-4,0.7725030826140568,0.05579531442663378,0.38777023236296226,1.8461538461538463
65,Norton city,3958,3856,102,2.6,urban,92,347,4,15,722,1,515,50,1654,0,1654,1303,45,212,52,40,0,0,0,28,11,10,31,16,0,0,0,15,0,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3958,20,2,1,0,0,0.7877871825876662,0.05562273276904474,NA,0.2097944377267231,0.0024183796856106408,0.009068923821039904,0.4365175332527207,6.045949214026602e-4,0.31136638452237003,0.030229746070133012,0.6674874146292963,1.5384615384615385
66,Northampton County,12389,0,12389,100,rural,68,87,0,6,535,3,639,44,1314,0,1314,716,NA,203,71,45,0,0,0,32,0,36,39,0,0,0,0,10,0,27,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12389,21,3,0,0,1,0.5449010654490106,0.0517503805175038,NA,0.06621004566210045,0,0.0045662100456621,0.4071537290715373,0.00228310502283105,0.4863013698630137,0.0334855403348554,0.5922057041716766,1.6153846153846154
67,Nottoway County,15853,7555,8298,52.3,mostly_rural,111,184,7,11,861,1,907,86,2057,0,2057,1360,198,250,66,36,0,0,0,31,0,32,74,27,0,0,0,24,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15853,24,8,0,1,0,0.6611570247933884,0.05396208070004861,NA,0.08945065629557608,0.003403014098201264,0.0053475935828877,0.41857073407875545,4.861448711716091e-4,0.4409333981526495,0.041808458920758386,0.6205864982183747,1.8461538461538463
68,Orange County,33481,14136,19345,57.8,mostly_rural,271,365,6,40,726,22,3435,470,5064,6,5070,2170,34,547,172,62,0,0,0,36,11,114,188,34,0,0,0,32,0,136,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33481,31,4,0,1,0,0.4280078895463511,0.053451676528599605,NA,0.07199211045364892,0.001183431952662722,0.007889546351084813,0.14319526627218934,0.004339250493096647,0.6775147928994083,0.09270216962524655,0.506609790351256,2.3846153846153846
69,Page County,24042,4770,19272,80.2,mostly_rural,323,117,3,15,72,4,3067,83,3361,5,3366,1632,100,417,111,61,0,0,0,0,0,104,137,40,0,0,0,0,0,123,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24042,27,4,0,1,0,0.48484848484848486,0.09595959595959595,NA,0.034759358288770054,8.9126559714795e-4,0.004456327985739751,0.0213903743315508,0.0011883541295306002,0.9111705288175876,0.024658348187759953,0.16747240677721967,2.076923076923077
70,Patrick County,18490,0,18490,100,rural,163,200,3,33,198,6,2186,104,2730,1,2731,1507,186,396,98,45,0,0,0,0,0,85,84,20,0,0,0,0,0,66,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18490,23,6,0,0,1,0.55181252288539,0.05968509703405346,NA,0.07323324789454412,0.0010984987184181618,0.012083485902599781,0.07250091541559868,0.0021969974368363236,0.8004393994873673,0.03808128890516294,0.3470750477216107,1.7692307692307692
71,Pittsylvania County,63506,9126,54380,85.6,mostly_rural,910,410,6,45,2055,5,6239,238,8998,1,8999,5161,17,1083,341,193,0,0,0,99,0,229,313,112,0,0,0,70,11,227,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63506,23,6,0,1,0,0.5735081675741749,0.10112234692743638,NA,0.045560617846427384,6.66740748972108e-4,0.00500055561729081,0.22835870652294699,5.5561729081009e-4,0.6932992554728303,0.026447383042560283,0.46438745073735577,1.7692307692307692
72,Powhatan County,28046,91,27955,99.7,mostly_rural,95,157,12,23,232,6,3718,141,4289,8,4297,770,35,490,138,28,0,0,0,0,0,121,197,0,0,0,0,10,0,177,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28046,24,1,0,1,0,0.17919478706074005,0.02210844775424715,NA,0.036537118920176866,0.0027926460321154294,0.005352571561554573,0.053991156620898303,0.0013963230160577147,0.8652548289504305,0.032813590877356295,0.24596894456729793,1.8461538461538463
73,Prince Edward County,23368,8597,14771,63.2,mostly_rural,186,74,3,27,1151,6,741,57,2059,1,2060,1308,133,288,81,51,0,0,0,59,9,19,60,32,0,0,0,33,0,24,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23368,NA,NA,0,1,0,0.6349514563106796,0.09029126213592233,NA,0.035922330097087375,0.0014563106796116505,0.013106796116504855,0.5587378640776699,0.002912621359223301,0.35970873786407764,0.02766990291262136,0.5561831935149402,NA
74,Prince George County,35725,16647,19078,53.4,mostly_rural,252,743,22,62,1994,50,3036,421,6328,0,6328,2974,23646,762,205,98,0,0,0,90,19,88,221,49,0,0,0,68,16,125,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35725,30,1,0,1,0,0.4699747155499368,0.03982300884955752,NA,0.11741466498103666,0.00347661188369153,0.009797724399494312,0.31510745891276865,0.007901390644753476,0.4797724399494311,0.06652970922882427,0.6521427752321071,2.3076923076923075
75,Prince William County,402002,385254,16748,4.2,urban,7376,30848,210,7793,18477,183,27705,5346,90562,33,90595,41047,43,11088,2703,1197,156,0,148,676,980,721,3107,670,0,0,340,574,579,1364,151,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402002,59,4,1,0,0,0.45308239969093217,0.08141729676030686,NA,0.3405044428500469,0.0023180087201280426,0.0860201997902754,0.2039516529609802,0.002019979027540151,0.30581157900546385,0.05900987913240245,0.7380486317131699,4.538461538461538
77,Pulaski County,34872,18516,16356,46.9,urban,381,140,12,21,239,1,3521,259,4193,0,4193,2108,17,663,169,83,0,0,0,11,0,151,140,41,0,0,0,0,0,128,36,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34872,22,7,1,0,0,0.5027426663486764,0.09086572859527785,NA,0.0333889816360601,0.0028619127116622945,0.005008347245409015,0.05699976150727403,2.3849272597185786e-4,0.8397328881469115,0.06176961602671119,0.2866360632284998,1.6923076923076923
78,Rappahannock County,7373,0,7373,100,rural,76,44,1,1,23,0,728,54,851,0,851,281,2562,109,32,11,0,0,0,0,0,30,32,0,0,0,0,0,0,29,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7373,19,4,0,0,1,0.3301997649823737,0.08930669800235018,NA,0.05170387779083431,0.0011750881316098707,0.0011750881316098707,0.02702702702702703,0,0.8554641598119859,0.06345475910693302,0.26074805199109075,1.4615384615384615
79,Richmond County,9254,0,9254,100,rural,189,157,1,5,348,0,754,57,1322,0,1322,709,1672,157,43,26,0,0,0,10,0,24,55,20,0,0,0,12,0,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9254,13,3,0,0,1,0.5363086232980333,0.14296520423600606,NA,0.11875945537065052,7.564296520423601e-4,0.0037821482602118004,0.2632375189107413,0,0.5703479576399395,0.04311649016641452,0.5894314990581822,1
80,Roanoke County,92376,75249,17127,18.5,urban,1972,773,13,610,1006,9,11069,675,14155,0,14155,4537,51,2209,383,123,0,0,0,28,15,315,702,88,0,0,0,33,19,583,46,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92376,27,6,1,0,0,0.32052278346873897,0.13931472977746379,NA,0.05460967855881314,9.184033910279053e-4,0.0430943129636171,0.07107029318262098,6.358177322500883e-4,0.7819851642529142,0.047686329918756626,0.37633364572307815,2.076923076923077
81,Rockbridge County,22307,1865,20442,91.6,mostly_rural,289,122,8,14,94,4,2487,103,2832,0,2832,1283,1452,409,100,32,0,0,0,0,0,86,110,13,0,0,0,0,0,97,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22307,29,5,0,1,0,0.4530367231638418,0.10204802259887005,NA,0.04307909604519774,0.002824858757062147,0.0049435028248587575,0.033192090395480225,0.0014124293785310734,0.878177966101695,0.03637005649717514,0.22448874245906347,2.230769230769231
81,Rockbridge County,22307,1865,20442,91.6,mostly_rural,289,122,8,14,94,4,2487,103,2832,0,2832,1283,1452,409,100,32,0,0,0,0,0,86,110,13,0,0,0,0,0,97,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22307,26,8,0,1,0,0.4530367231638418,0.10204802259887005,NA,0.04307909604519774,0.002824858757062147,0.0049435028248587575,0.033192090395480225,0.0014124293785310734,0.878177966101695,0.03637005649717514,0.22448874245906347,2
82,Rockingham County,76314,31035,45279,59.3,mostly_rural,837,1710,46,149,236,8,9272,389,11810,12,11822,4757,NA,1159,384,140,0,0,0,12,53,308,509,86,0,0,0,0,48,429,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76314,20,5,0,1,0,0.40238538318389444,0.0708002030113348,NA,0.1446455760446625,0.0038910505836575876,0.012603620368803924,0.019962781255286752,6.767044493317544e-4,0.7843004567755033,0.03290475384875655,0.36229476592119364,1.5384615384615385
83,Russell County,28897,3414,25483,88.2,mostly_rural,259,36,3,5,20,1,3736,25,3826,0,3826,2405,175,533,211,137,0,0,0,0,0,208,107,34,0,0,0,0,0,105,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28897,18,7,0,1,0,0.6285938316779927,0.06769472033455305,NA,0.009409304756926294,7.841087297438578e-4,0.0013068478829064297,0.005227391531625719,2.6136957658128593e-4,0.9764767381076843,0.006534239414532148,0.046332232019672175,1.3846153846153846
84,Scott County,23177,4143,19034,82.1,mostly_rural,263,80,2,9,22,0,3386,46,3545,1,3546,2113,498,600,105,62,0,0,0,0,0,102,135,43,0,0,0,0,0,128,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23177,18,7,0,1,0,0.595882684715172,0.07416807670614778,NA,0.022560631697687534,5.640157924421884e-4,0.0025380710659898475,0.006204173716864072,0,0.954878736604625,0.012972363226170333,0.08748408238002563,1.3846153846153846
85,Shenandoah County,41993,14032,27961,66.6,mostly_rural,521,840,16,34,182,3,4800,188,6063,0,6063,2763,54,823,220,99,0,0,0,0,28,179,212,53,0,0,0,0,24,171,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41993,28,4,0,1,0,0.45571499257793174,0.08593105723239321,NA,0.13854527461652646,0.002638957611743361,0.005607784924954643,0.030018142833580737,4.948045522018803e-4,0.7916872835230084,0.031007751937984496,0.35213522622938,2.1538461538461537
86,Smyth County,32208,7960,24248,75.3,mostly_rural,73,133,2,25,71,1,4171,28,4431,0,4431,2585,NA,635,178,90,0,0,0,0,0,166,149,36,0,0,0,0,0,144,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32208,21,7,0,1,0,0.5833897540058678,0.01647483638004965,NA,0.030015797788309637,4.513653802753329e-4,0.005642067253441661,0.016023470999774317,2.2568269013766644e-4,0.9413225005642067,0.00631911532385466,0.11268223138704797,1.6153846153846154
87,Southampton County,18570,378,18192,98,mostly_rural,25,50,12,8,1144,8,1509,69,2800,0,2800,1534,1396,348,82,45,0,0,0,42,0,38,79,26,0,0,0,25,0,51,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18570,26,2,0,1,0,0.5478571428571428,0.008928571428571428,NA,0.017857142857142856,0.004285714285714286,0.002857142857142857,0.4085714285714286,0.002857142857142857,0.5389285714285714,0.024642857142857143,0.5416645408163264,2
88,Spotsylvania County,122397,82829,39568,32.3,urban,2675,3757,50,600,4371,36,13368,1612,23794,14,23808,9739,2415,2970,647,243,13,0,0,171,85,353,1034,175,0,0,33,179,104,666,44,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122397,27,3,1,0,0,0.4090641801075269,0.11235719086021505,NA,0.1578040994623656,0.0021001344086021504,0.025201612903225805,0.18359375,0.0015120967741935483,0.561491935483871,0.06770833333333333,0.6208917708434952,2.076923076923077
89,Stafford County,128961,103485,25476,19.8,urban,2259,5729,90,917,5561,76,14194,2369,28936,177,29113,10202,53,3179,763,291,29,0,18,178,143,368,1444,222,0,0,52,228,210,839,40,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128961,30,3,1,0,0,0.35042764400783155,0.07759420190292997,NA,0.19678494143509773,0.0030914024662521897,0.031497956239480644,0.19101432349809364,0.002610517638168516,0.487548517844262,0.08137258269501597,0.6794556677575451,2.3076923076923075
90,Surry County,7058,0,7058,100,rural,54,16,1,0,460,0,274,41,792,0,792,451,12,125,27,15,0,0,0,17,0,10,31,23,0,0,0,19,0,11,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7058,NA,NA,0,0,1,0.5694444444444444,0.06818181818181818,NA,0.020202020202020204,0.0012626262626262627,0,0.5808080808080808,0,0.34595959595959597,0.05176767676767677,0.5398843230282625,NA
91,Sussex County,12087,0,12087,100,rural,40,41,0,1,797,0,225,13,1077,3,1080,481,38,175,36,16,0,0,0,27,0,0,35,29,0,0,0,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12087,20,1,0,0,1,0.44537037037037036,0.037037037037037035,NA,0.03796296296296296,0,9.25925925925926e-4,0.7379629629629629,0,0.20833333333333334,0.012037037037037037,0.4104209533607682,1.5384615384615385
92,Tazewell County,45078,21688,23390,51.9,mostly_rural,405,44,2,40,161,1,5391,159,5798,0,5798,3249,1710,838,214,127,0,0,0,0,0,201,165,46,0,0,0,0,0,157,26,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45078,15,7,0,1,0,0.5603656433252846,0.06985167299068644,NA,0.0075888237323214905,3.4494653328734045e-4,0.006898930665746809,0.027768195929630906,1.7247326664367022e-4,0.9298033804760262,0.027423249396343566,0.13383723211760418,1.1538461538461537
93,Warren County,37575,18634,18941,50.4,mostly_rural,259,385,21,64,293,4,4266,357,5390,5,5395,2489,219,719,185,78,0,0,0,15,0,147,231,70,0,0,0,0,16,190,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37575,27,4,0,1,0,0.4613531047265987,0.04800741427247451,NA,0.07136237256719184,0.003892493049119555,0.011862835959221501,0.05430954587581094,7.414272474513438e-4,0.7907321594068581,0.06617238183503243,0.36216532487689407,2.076923076923077
94,Washington County,54876,15543,39333,71.7,mostly_rural,611,210,10,62,84,4,6677,186,7233,14,7247,4037,16,1154,255,181,0,0,0,0,0,232,264,73,0,0,0,0,0,252,21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54876,21,7,0,1,0,0.5570580930040017,0.0843107492755623,NA,0.028977507934317647,0.0013798813302056023,0.008555264247274734,0.01159100317372706,5.519525320822409e-4,0.9213467641782807,0.025665792741824203,0.14941195863006465,1.6153846153846154
95,Westmoreland County,17454,3693,13761,78.8,mostly_rural,63,218,6,2,637,1,647,98,1609,1,1610,1116,1141,233,69,37,0,0,0,36,0,28,51,31,0,0,0,21,0,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17454,NA,NA,0,1,0,0.6931677018633541,0.0391304347826087,NA,0.13540372670807455,0.0037267080745341614,0.0012422360248447205,0.39565217391304347,6.211180124223603e-4,0.4018633540372671,0.06086956521739131,0.6599101114926123,NA
96,Wise County,41452,17961,23491,56.7,mostly_rural,309,54,3,20,120,5,5567,59,5828,0,5828,3472,491,783,207,142,0,0,0,0,0,195,174,73,0,0,0,0,0,162,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41452,15,7,0,1,0,0.5957446808510638,0.05301990391214825,NA,0.009265614275909403,5.147563486616335e-4,0.0034317089910775567,0.02059025394646534,8.579272477693892e-4,0.9552161976664378,0.010123541523678793,0.08693694181734084,1.1538461538461537
97,Wythe County,29235,7212,22023,75.3,mostly_rural,208,62,2,24,172,4,3805,81,4150,0,4150,2042,NA,500,162,75,0,0,0,0,0,144,131,22,0,0,0,0,0,122,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29235,17,7,0,1,0,0.49204819277108436,0.05012048192771084,NA,0.014939759036144579,4.8192771084337347e-4,0.005783132530120482,0.04144578313253012,9.638554216867469e-4,0.9168674698795181,0.019518072289156627,0.1569975322978662,1.3076923076923077
98,York County,65187,61471,3993,6.1,urban,1526,1277,37,726,1632,54,7631,1230,12587,234,12821,2989,NA,1405,323,67,0,0,0,51,32,205,607,37,0,0,54,63,42,394,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65187,20,2,1,0,0,0.23313314094064425,0.1190234771078699,NA,0.099602215115825593,0.0028858903361672255,0.05662584821776773,0.12729116293580844,0.004211839950081897,0.5951953825754621,0.0959363544185321,0.6071824763990223,1.5384615384615385
101,Alexandria city,139993,139966,0,0,urban,1285,5779,34,799,4338,26,4306,428,15710,92,15802,9818,6431,1745,385,286,64,0,19,164,157,38,307,144,0,0,27,86,72,105,43,24,874,0,52,305,328,159,627,105,0,0,20,73,0,139993,26,4,1,0,0,0.6213137577521832,0.0813188204024807,0.35532407407407407,0.36571320086065057,0.0021516263764080495,0.05056321984558917,0.27452221237818,0.0016453613466649792,0.2724971522592077,0.027085179091254272,0.7133391288002857,2
102,Bristol city,17835,17828,7,0,urban,101,79,5,21,211,4,1794,149,2263,0,2263,1325,28,347,74,47,0,0,0,0,0,63,68,20,0,0,0,0,0,60,12,2,178,0,0,0,0,155,108,0,0,0,0,0,0,17835,27,7,1,0,0,0.585505965532479,0.044631020768890854,0.4358974358974359,0.034909412284577994,0.002209456473707468,0.009279717189571365,0.09323906319045515,0.0017675651789659744,0.7927529827662395,0.06584180291648255,0.35720125619755955,2.076923076923077
103,Buena Vista city,6650,6391,259,3.9,urban,76,18,10,0,49,1,839,31,948,0,948,484,NA,161,37,14,0,0,0,0,0,31,40,34,0,0,0,0,0,35,0,0,92,0,0,0,0,79,52,0,0,0,0,0,0,6650,16,5,1,0,0,0.510548523206751,0.08016877637130802,0.5194805194805194,0.0189873417721519,0.010548523206751054,0,0.05168776371308017,0.0010548523206751054,0.8850210970464135,0.03270042194092827,0.21252381206715443,1.2307692307692308
104,Charlottesville city,43435,43475,0,0,urban,633,542,5,299,1564,1,1824,292,4527,2,4529,2517,629,587,117,81,0,0,11,59,14,27,157,35,0,0,0,26,12,104,11,8,316,0,25,105,33,139,177,19,0,0,10,0,0,43435,32,5,1,0,0,0.5557518215941709,0.1397659527489512,0.5032051282051282,0.11967321704570545,0.001103996467211305,0.06601898873923603,0.34533009494369615,2.2079929344226098e-4,0.402737911238684,0.06447339368514021,0.6957110285712531,2.4615384615384617
106,Colonial Heights city,17411,17411,0,0,urban,189,195,1,90,603,5,1728,211,2833,0,2833,1524,126,467,75,34,0,0,0,15,0,47,140,38,0,0,0,18,0,103,0,7,223,0,0,33,11,155,103,0,0,0,0,0,0,17411,25,1,1,0,0,0.5379456406636075,0.06671373102717967,0.6306306306306306,0.06883162725026473,3.5298270384751147e-4,0.03176844334627603,0.21284857042004943,0.0017649135192375574,0.6099541122484998,0.07447935051182492,0.5713540269495379,1.9230769230769231
107,Covington city,5961,5961,0,0,urban,58,47,4,6,147,0,795,52,1051,0,1051,467,NA,195,27,11,0,0,0,0,0,18,25,0,0,0,0,0,0,20,0,2,64,0,0,0,0,45,28,0,0,0,0,0,0,5961,15,6,1,0,0,0.44433872502378685,0.05518553758325404,0.46296296296296297,0.04471931493815414,0.003805899143672693,0.005708848715509039,0.13986679352997144,0,0.7564224548049476,0.049476688867745006,0.4037675142426994,1.1538461538461537
108,Danville city,43055,41111,1944,4.5,urban,406,425,10,82,4005,2,1126,178,5828,0,5828,2447,13,808,161,81,0,0,0,123,0,33,161,37,0,0,0,76,16,63,24,11,438,0,0,292,26,113,324,51,0,0,40,0,10,43055,37,6,1,0,0,0.41986959505833904,0.0696636925188744,0.3946078431372549,0.07292381606039808,0.0017158544955387784,0.014070006863417982,0.6871997254632807,3.4317089910775565e-4,0.19320521619766645,0.030542210020590255,0.4839765451993997,2.8461538461538463
109,Falls Church city,12332,12332,0,0,urban,294,371,4,194,93,1,1720,294,2677,3,2680,165,980,369,54,12,0,0,0,0,15,30,142,0,0,0,18,0,15,93,0,0,197,0,22,0,30,125,19,0,0,0,0,0,0,12332,23,4,1,0,0,0.061567164179104475,0.10970149253731343,0.7244897959183674,0.13843283582089552,0.0014925373134328358,0.07238805970149254,0.03470149253731343,3.7313432835820896e-4,0.6417910447761194,0.10970149253731343,0.5504595956783248,1.7692307692307692
110,Fredericksburg city,24286,24003,283,1.2,urban,10,841,8,202,1247,5,1093,221,3617,0,3617,1827,234,366,89,47,0,0,0,47,19,17,89,32,0,0,0,34,10,39,0,0,220,0,0,96,38,68,135,29,0,0,0,0,10,24286,35,3,1,0,0,0.5051147359690351,0.002764722145424385,0.42995169082125606,0.23251313243019076,0.002211777716339508,0.05584738733757257,0.34476085153442076,0.0013823610727121925,0.30218413049488524,0.0611003594138789,0.7289033622980721,2.6923076923076925
111,Galax city,7042,6076,966,13.7,urban,67,387,4,9,85,0,787,30,1302,0,1302,831,NA,154,64,36,0,0,0,0,21,34,30,10,0,0,0,0,0,21,0,5,101,0,0,0,32,55,59,0,0,0,0,0,0,7042,21,7,1,0,0,0.6382488479262672,0.05145929339477726,0.30303030303030304,0.29723502304147464,0.0030721966205837174,0.0069124423963133645,0.065284178187404,0,0.6044546850998463,0.02304147465437788,0.5414357210105686,1.6153846153846154
